pcp	ETP	Q(m/day)
8	8.391896863	0.125831298
28.31	8.111331224	0.126263708
17.28	6.961318495	0.153937945
0.11	6.767647354	0.183774232
1.26	6.927236496	0.197178941
0	7.119509024	0.20452991
0	7.453924833	0.197178941
6.75	7.214393897	0.183774232
9.5	6.964925445	0.184206642
4.64	7.034708889	0.20452991
10.59	6.727161178	0.216637389
8.42	6.764261237	0.216637389
2.78	7.185391073	0.20971883
0.05	7.521131884	0.196746531
2.42	7.685211312	0.184639052
0	7.545718035	0.170801934
4.23	7.207032774	0.164748194
9.49	7.958750635	0.167775064
1.03	7.913406119	0.172099164
0.76	7.521131884	0.180314953
0.76	7.197978593	0.193287251
2.92	7.750504471	0.198043761
0	8.400565226	0.201070631
0	8.077632769	0.199340991
1.27	7.962357586	0.216637389
59.83	7.034708889	0.286255393
12.69	6.89506839	0.347657607
0.25	6.630583247	0.364521595
0.14	6.474674666	0.349387247
0.46	7.054657532	0.345495557
0.96	7.493601285	0.389168963
0	7.468352634	0.459219376
0	7.546454147	0.515432671
0	6.726129433	0.527972559
0	6.355256865	0.489920483
0	6.14753883	0.428085859
0	6.254705034	0.363656775
0	5.645982289	0.301822151
0	5.780073667	0.255554286
0	6.002022626	0.215772569
0.91	5.973026284	0.187665922
0	5.857642223	0.162586144
0	5.95010982	0.139668417
0	5.883966091	0.121074788
0	5.935945708	0.10896731
9.49	6.171257036	0.10464321
47.15	6.567317671	0.195449301
59.82	5.884099714	0.479975054
0	6.686309572	0.694450394
0.29	6.81893109	0.790877814
1.2	6.845054522	0.857468948
0	6.897635446	0.897250664
0	6.69312438	0.899412714
1.32	6.619297288	0.926654541
0.4	6.508322809	0.949572269
0	6.527230562	0.911952602
0	6.29686331	0.858766178
0	6.671009658	0.803417703
4.79	6.36988866	0.742880309
8.09	6.310492927	0.686667014
0.28	6.227312177	0.636507459
0.48	5.735643788	0.583321034
2.69	6.057810519	0.531864249
0	4.693553926	0.485163974
0	4.75756061	0.452300817
0	4.566181207	0.423761759
0	4.689710031	0.399114392
0	4.696000041	0.378791124
25.66	4.884234439	0.436734058
54.15	5.328437332	0.748501638
80.64	5.392444016	1.435168652
3.13	4.569326213	2.248531784
0	4.693379203	3.593326756
1.21	4.251971871	5.007307318
1.37	4.37794681	5.673218657
0	4.187382778	5.833210342
0	4.187790464	5.586736664
0	3.869329547	5.162974904
0	3.109519537	4.687323951
0	3.300083568	4.250589893
0	3.490822322	3.839800432
0	3.934966974	3.472251967
0	4.630886781	3.143620399
0	4.50473712	2.840933428
30.18	3.741141456	2.542570556
0	2.282616079	2.248531784
19.59	2.283140247	2.071243702
0	2.027346474	1.971789411
0	2.344176648	1.855038722
3.31	1.966310073	1.759908532
3.16	1.96893091	1.677750639
0	2.285236917	1.56099995
0	2.095022331	1.413980565
0	2.409814075	1.282095527
0	1.954114678	1.162317969
0.68	2.436421892	1.051621019
0	1.618739205	0.969030717
0	1.815122862	0.890332105
0	2.361596741	0.821146511
0	2.503134512	0.750231278
0	2.810029824	0.688829064
0.11	2.696929063	0.631750949
0	2.877130809	0.577699705
0	2.968483084	0.528404969
0	1.724504167	0.487326023
0	1.11015257	0.450138767
0	1.601823716	0.41900525
0	2.385545968	0.392195832
1.03	2.761829309	0.370575334
3.28	3.234168466	0.348522427
0.34	2.661501468	0.326037109
0	0.765240559	0.305281431
0	0.297604943	0.283228523
1.78	1.03092594	0.264634895
21.18	1.570797601	0.323875059
33.4	1.832383565	0.496839042
0.37	0.674190346	0.62267034
0	0.64337999	0.708287512
0	1.930035997	0.752825738
0	0.34118822	0.766662857
2.86	0.834887498	0.761906347
11.18	2.055089795	0.848820749
1.17	2.898836144	0.934005511
14.99	2.194211067	0.928816591
0	2.350519318	0.983300246
0	1.274519209	0.981138196
0	0.794679078	1.006217974
1.13	1.522716198	1.006650384
1.63	3.153353256	1.001029054
9.36	1.67391539	0.979408556
0	0.499145835	0.955193598
0.11	0.415933683	0.956490828
4.74	1.329329608	0.94481576
1.03	0.751605855	0.94005925
0	1.264498318	0.93616756
0	0.775689212	0.914114652
0.34	0.64325843	0.867414377
0	0	0.826335431
4.98	0	0.819416872
16.17	1.572377742	0.841037369
0.05	0.9325909	0.843199419
29.83	1.052287954	0.871306066
0.81	0.40602352	0.973787227
0	0.775689212	1.126860352
0	0.385649554	1.221558133
0	0	1.290311316
0	0.114808672	1.379387768
0	0.618676796	1.452897461
5.64	0.959608552	1.556675851
0.91	2.246047375	1.699371137
0	0.840465139	1.919900216
0	1.160081739	2.075567801
18.48	1.679728614	2.205290789
0	1.439448683	2.270152283
0.14	1.467352159	2.248531784
