pcp	ETP	Q(m/day)
0	5.501197107	5.578088463
0	5.556310774	5.565116168
0	5.765634993	5.396476282
0	5.835379813	5.033251919
0.03	5.401651412	4.553276864
0	4.513998235	4.047357212
0	5.027524762	3.541437561
2.3	6.682370952	3.152268598
0	5.560978381	2.789044233
0	4.268679585	2.451764465
0.05	5.461253163	2.19231849
24.23	5.386212405	2.075567801
6.13	5.840855275	1.997734008
0.23	5.142509464	1.945844814
0	5.849921204	1.88098332
0	6.463172949	1.803149527
0	5.89629383	1.686398838
0.03	5.397396006	1.530731253
2.52	6.357334701	1.349119071
44.31	5.482631743	1.220693313
0.21	3.83136211	1.132481681
2.92	4.655000414	1.110428773
4.63	6.689754076	1.119509383
0	7.25238673	1.111726003
0	7.435912326	1.092267555
0	7.568526847	1.083186946
0	7.735005296	1.096159245
0	6.754026429	1.122103842
0	5.456830655	1.131184452
0	4.948718157	1.101348165
1.6	5.448383871	1.04167559
1.46	5.034721784	0.963841798
0.47	5.990053141	0.884710775
0	5.460823681	0.802985293
0.14	5.073423416	0.72644873
2.86	3.989547352	0.665478926
0	5.653794318	0.613589731
0	5.858283299	0.553917157
51.35	5.929697024	0.590239593
10.34	5.239978654	0.62267034
0	5.802611308	0.603211892
7.77	6.613118701	0.590239593
0.33	6.924497903	0.603211892
1.87	5.508125675	0.642128788
0	5.769054536	0.687531834
2.85	5.67859715	0.739421029
0	5.914108867	0.817254822
7.73	6.456542873	0.869144017
0	5.410056519	0.83671327
0	5.99330067	0.849685569
7.56	6.787394766	0.888602465
13.6	7.065967765	0.954761188
0	6.974293876	0.994975315
1.88	7.246011981	1.000164234
18.67	7.525823816	0.994975315
4.47	7.846104306	0.988489165
0.11	7.608330317	0.982003016
1.14	8.153500897	0.952166729
0.13	8.447683234	0.911952602
1.67	8.240880154	0.860063408
1.14	8.282670233	0.801688063
0.46	8.228491791	0.754987788
0.03	8.341886611	0.695315213
20.05	7.620966447	0.644723248
6.17	7.873441294	0.591536823
7.4	8.035150732	0.555214387
10.12	7.836771739	0.575970065
10.06	7.20438708	0.700504133
0.03	6.075889759	0.825038201
0	6.489248153	0.883413545
0	7.24518609	0.874332936
0	7.672749807	0.801688063
0	8.026644056	0.696612443
0	8.117657232	0.587645134
0	8.255085477	0.472191675
3.54	7.975191053	0.376196664
0	7.882691272	0.304849021
41.63	7.334739253	0.272418274
10.45	6.576701	0.293173952
41.58	6.865488091	0.461813836
0	6.996619867	0.594131283
0.23	7.504876232	0.643426018
0	7.633036183	0.646020478
2.52	7.554357117	0.6252648
4.69	7.669143856	0.604509122
0	7.92613242	0.565592226
13.37	8.082896187	0.51759472
9.79	7.595591189	0.481272284
5.44	7.500567085	0.457922146
22.76	7.095581639	0.479975054
18.31	6.909693987	0.569483915
20.07	6.642155445	0.688829064
0.11	7.145062524	0.788715765
1.71	7.483924866	0.83930773
5.06	7.285852732	0.861360638
16.93	7.240235219	0.870441246
19.95	6.798696325	0.93659997
0.11	7.153383634	1.009244843
0.2	7.542321226	1.090970325
0.81	7.252196814	1.228476692
40.95	6.728189778	1.530731253
4.61	6.70285497	1.997734008
2.33	6.947138982	2.568515154
0.1	6.914077429	2.724182739
0.1	7.500344199	2.737155038
0	7.649529812	2.581487453
4.57	7.644329118	2.335013776
5.74	7.554282822	2.114484697
4.74	6.776716498	2.075567801
0.13	6.702041342	2.166373892
0	6.58799571	2.386902971
2.06	6.611102995	2.633376648
0.84	6.449148709	2.737155038
7	6.629602375	2.71121044
2.22	6.71369663	2.581487453
0.16	6.637327391	2.373930672
4.68	6.645391224	2.205290789
13.21	6.427125637	2.062595502
5.13	6.592129271	2.010706307
0.23	6.720540723	1.945844814
2.36	6.751373024	1.868011021
17.72	6.656368878	1.803149527
6.53	6.682932092	1.829094125
0	6.788236259	1.855038722
7.18	6.644645828	1.958817112
1.32	6.66090902	2.075567801
8.6	6.464802031	2.127456996
0.34	6.655759009	2.075567801
0.23	6.683067618	2.036650905
